id,repeat,budgetMs,variant,elapsedMs,nodes,depth,move,gapCp,deltaGapCp,changed,pvLength,lmrReductions,lmrResearches
4,1,3000,history,3000.113,1554630,7,6h5g,0,0,False,8,23702,11
4,1,3000,baseline,3000.105,859264,6,6h5g,0,0,False,8,0,0
5,0,3000,fast,3000.116,1457465,6,4e3f,0,0,False,6,0,0
5,0,3000,lmr,3000.111,1309815,7,4e3f,0,0,False,10,18082,6
5,0,3000,history,3000.104,1477663,7,4e3f,0,0,False,10,17149,0
5,0,3000,baseline,3000.1,894001,6,4e3f,0,0,False,6,0,0
5,1,3000,lmr,3000.133,1260921,7,4e3f,0,0,False,10,16517,6
5,1,3000,history,3000.1,1394704,7,4e3f,0,0,False,10,17056,0
5,1,3000,baseline,3000.12,897774,6,4e3f,0,0,False,6,0,0
5,1,3000,fast,3000.186,1417528,6,4e3f,0,0,False,6,0,0
6,0,3000,lmr,3000.11,1219186,6,G*8c,0,0,False,6,7564,2
6,0,3000,history,3000.11,1390477,5,G*8c,0,0,False,5,8445,4
6,0,3000,baseline,3000.103,887858,5,G*8c,0,0,False,5,0,0
6,0,3000,fast,3000.106,1425582,5,G*8c,0,0,False,5,0,0
6,1,3000,history,3000.098,1370187,5,G*8c,0,0,False,5,8392,4
6,1,3000,baseline,3000.104,869012,5,G*8c,0,0,False,5,0,0
6,1,3000,fast,3000.119,1418333,5,G*8c,0,0,False,5,0,0
6,1,3000,lmr,3000.111,1260879,6,G*8c,0,0,False,6,7678,2
7,0,3000,history,3000.121,1339428,7,5c5d,0,0,False,7,10627,6
7,0,3000,baseline,3000.104,725794,6,5c5d,0,0,False,6,0,0
7,0,3000,fast,3000.107,1278724,6,5c5d,0,0,False,6,0,0
7,0,3000,lmr,3000.102,1502019,7,5c5d,0,0,False,7,16047,24
7,1,3000,baseline,3000.104,757975,6,5c5d,0,0,False,6,0,0
7,1,3000,fast,3000.108,1320592,6,5c5d,0,0,False,6,0,0
7,1,3000,lmr,3000.107,1539010,7,5c5d,0,0,False,7,16962,24
7,1,3000,history,3000.11,1422686,7,5c5d,0,0,False,7,10860,6
8,0,3000,baseline,3001.291,754871,5,7a8b,0,0,False,7,0,0
8,0,3000,fast,3000.101,1229847,5,7a8b,0,0,False,7,0,0
8,0,3000,lmr,3000.114,1361133,7,7a8b,0,0,False,8,18787,1
8,0,3000,history,3000.092,1446353,6,7a8b,0,0,False,6,20186,1
8,1,3000,fast,3000.126,1278226,5,7a8b,0,0,False,7,0,0
8,1,3000,lmr,3000.106,1329192,7,7a8b,0,0,False,8,18665,1
8,1,3000,history,3000.105,1384787,6,7a8b,0,0,False,6,20091,1
8,1,3000,baseline,3000.115,794640,5,7a8b,0,0,False,7,0,0
9,0,3000,fast,3000.117,1423277,6,6d6e,0,0,False,10,0,0
9,0,3000,lmr,3000.104,1467117,7,6d6e,0,0,False,8,4877,0
9,0,3000,history,3000.097,1550727,6,6d6e,0,0,False,10,5524,0
9,0,3000,baseline,3000.1,830178,6,6d6e,0,0,False,10,0,0
9,1,3000,lmr,3000.158,1608649,7,6d6e,0,0,False,8,5644,0
9,1,3000,history,3000.104,1535647,6,6d6e,0,0,False,10,5457,0
9,1,3000,baseline,3000.11,775151,6,6d6e,0,0,False,10,0,0
9,1,3000,fast,3000.103,1429126,6,6d6e,0,0,False,10,0,0
10,0,3000,lmr,3000.103,1414049,7,9d9e,247,-60,True,7,18289,48
10,0,3000,history,3000.104,1287208,7,6c7d,0,-307,True,9,19714,13
