id,rep,ms,variant,move,gap_cp,raw_cp_gap,effort_or_depth,iteration_unit,seldepth,pv_plies,nodes,elapsed_ms,fallback,stop,reductions,researches,max_legal_width
13,0,1000,blend,9f9e,0,0,5,effort_steps_4,27,6,386937,1000.099,False,time_limit,116543,105,213
13,0,1000,clipped,9f9e,0,0,5,effort_steps_4,27,6,425139,1000.539,False,time_limit,135903,106,214
13,0,1000,tempo,9f9e,0,0,5,effort_steps_4,24,6,431076,1000.097,False,time_limit,147494,85,218
13,0,1000,baseline,9f9e,0,0,5,plies,13,5,423807,1000.098,False,time_limit,0,0,0
13,1,1000,adaptive,9f9e,0,0,5,effort_steps_4,25,6,404847,1000.104,False,time_limit,132329,112,168
13,1,1000,blend,9f9e,0,0,5,effort_steps_4,27,6,411321,1005.427,False,time_limit,129146,105,214
13,1,1000,clipped,9f9e,0,0,5,effort_steps_4,27,6,397214,1000.105,False,time_limit,122877,105,214
13,1,1000,tempo,9f9e,0,0,5,effort_steps_4,24,6,412504,1000.1,False,time_limit,138491,85,218
13,1,1000,baseline,9f9e,0,0,5,plies,13,5,433126,1000.094,False,time_limit,0,0,0
13,1,1000,history,9f9e,0,0,6,plies,14,12,429066,1000.094,False,time_limit,5566,1,0
13,0,300,history,9f9e,0,0,5,plies,12,5,138528,300.576,False,time_limit,2677,0,0
13,0,300,adaptive,9f9e,0,0,5,effort_steps_4,22,6,134659,300.108,False,time_limit,52744,71,165
13,0,300,blend,9f9e,0,0,5,effort_steps_4,25,6,133695,300.092,False,time_limit,48278,63,165
13,0,300,clipped,9f9e,0,0,5,effort_steps_4,25,6,127064,300.11,False,time_limit,45558,61,165
13,0,300,tempo,9f9e,0,0,5,effort_steps_4,18,6,114055,300.113,False,time_limit,44125,49,165
13,0,300,baseline,9f9e,0,0,5,plies,12,5,133223,301.322,False,time_limit,0,0,0
13,1,300,adaptive,9f9e,0,0,5,effort_steps_4,22,6,142247,300.103,False,time_limit,53604,77,165
13,1,300,blend,9f9e,0,0,5,effort_steps_4,25,6,131777,300.106,False,time_limit,47242,62,165
13,1,300,clipped,9f9e,0,0,5,effort_steps_4,25,6,134329,300.117,False,time_limit,48409,64,165
13,1,300,tempo,9f9e,0,0,5,effort_steps_4,19,6,138835,300.108,False,time_limit,51254,58,165
13,1,300,baseline,9f9e,0,0,5,plies,12,5,142457,300.099,False,time_limit,0,0,0
13,1,300,history,9f9e,0,0,5,plies,12,5,138528,303.05,False,time_limit,2677,0,0
14,0,1000,adaptive,5e5d,0,0,6,effort_steps_4,26,8,422385,1000.168,False,time_limit,112873,110,189
14,0,1000,blend,5e5d,0,0,6,effort_steps_4,25,8,419817,1000.101,False,time_limit,117355,126,174
14,0,1000,clipped,5e5d,0,0,6,effort_steps_4,25,8,410113,1000.109,False,time_limit,112946,126,174
14,0,1000,tempo,5e5d,0,0,6,effort_steps_4,20,9,399341,1000.107,False,time_limit,128028,88,218
14,0,1000,baseline,8g8f,170,170,6,plies,14,6,413715,1000.098,False,time_limit,0,0,0
14,0,1000,history,8g8f,170,170,7,plies,15,7,433079,1000.103,False,time_limit,9565,1,0
14,1,1000,blend,5e5d,0,0,6,effort_steps_4,25,8,426745,1001.732,False,time_limit,120166,126,174
14,1,1000,clipped,5e5d,0,0,6,effort_steps_4,25,8,420183,1000.101,False,time_limit,117487,126,174
14,1,1000,tempo,5e5d,0,0,6,effort_steps_4,20,9,398775,1000.101,False,time_limit,127701,88,218
