phase,root,repeat,variant,elapsed_ms,nodes,q_generated_moves,q_avoided_generations
cycle2,1,4,v0.8,33.683,5176,,
cycle2,1,4,cycle1,44.927,5176,2249,
cycle2,2,4,v0.8,59.104,7053,,
cycle2,2,4,cycle1,39.402,7053,6301,
cycle2,2,4,cycle2,43.847,7053,2304,4883
cycle2,3,4,cycle1,42.193,6600,6350,
cycle2,3,4,cycle2,63.285,6600,2350,4679
cycle2,3,4,v0.8,58.587,6600,,
cycle2,4,4,cycle2,16.624,2853,1132,1914
cycle2,4,4,v0.8,19.661,2853,,
cycle2,4,4,cycle1,32.933,2853,6431,
cycle2,5,4,v0.8,30.658,3252,,
cycle2,5,4,cycle1,27.088,3252,3473,
cycle2,5,4,cycle2,16.098,3252,1687,2055
cycle2,6,4,cycle1,61.238,10003,18473,
cycle2,6,4,cycle2,55.561,10003,9242,3734
cycle2,6,4,v0.8,61.937,10003,,
cycle2,7,4,cycle2,15.549,2703,1235,1946
cycle2,7,4,v0.8,24.571,2703,,
cycle2,7,4,cycle1,22.567,2703,7117,
